	ecDNA_0
cell_1872	50
cell_1873	7
cell_1874	50
cell_1875	6
cell_1876	19
cell_1877	12
cell_1878	14
cell_1879	40
cell_1880	19
cell_1881	21
cell_1882	45
cell_1883	14
cell_1884	45
cell_1885	64
cell_1886	13
cell_1887	36
cell_1888	75
cell_1889	54
cell_1890	37
cell_1891	36
cell_1892	23
cell_1893	38
cell_1894	56
cell_1895	6
cell_1896	17
cell_1897	19
cell_1898	15
cell_1899	31
cell_1900	0
cell_1901	23
cell_1902	0
cell_1903	19
cell_1904	2
cell_1905	9
cell_1906	43
cell_1907	58
cell_1908	22
cell_1909	31
cell_1910	40
cell_1911	27
cell_1912	57
cell_1913	51
cell_1914	5
cell_1915	25
cell_1916	81
cell_1917	19
cell_1918	46
cell_1919	7
cell_1920	18
cell_1921	28
cell_1922	75
cell_1923	8
cell_1924	17
cell_1925	37
cell_1926	26
cell_1927	12
cell_1928	20
cell_1929	23
cell_1930	26
cell_1931	11
cell_1932	64
cell_1933	23
cell_1934	27
cell_1935	35
cell_1936	64
cell_1937	21
cell_1938	121
cell_1939	14
cell_1940	5
cell_1941	13
cell_1942	48
cell_1943	29
cell_1944	1
cell_1945	53
cell_1946	16
cell_1947	29
cell_1948	55
cell_1949	16
cell_1950	20
cell_1951	40
cell_1952	18
cell_1953	0
cell_1954	0
cell_1955	14
cell_1956	0
cell_1957	6
cell_1958	68
cell_1959	15
cell_1960	45
cell_1961	7
cell_1962	7
cell_1963	0
cell_1964	5
cell_1965	40
cell_1966	38
cell_1967	21
cell_1968	12
cell_1969	18
cell_1970	64
cell_1971	28
cell_1972	38
cell_1973	36
cell_1974	29
cell_1975	51
cell_1976	14
cell_1977	6
cell_1978	13
cell_1979	86
cell_1980	5
cell_1981	91
cell_1982	32
cell_1983	9
cell_1984	2
cell_1985	9
cell_1986	24
cell_1987	0
cell_1988	23
cell_1989	12
cell_1990	47
cell_1991	22
cell_1992	21
cell_1993	38
cell_1994	38
cell_1995	9
cell_1996	12
cell_1997	27
cell_1998	57
cell_1999	3
cell_2000	8
cell_2001	44
cell_2002	68
cell_2003	0
cell_2004	71
cell_2005	32
cell_2006	18
cell_2007	76
cell_2008	26
cell_2009	38
cell_2010	9
cell_2011	4
cell_2012	40
cell_2013	18
cell_2014	29
cell_2015	21
cell_2016	35
cell_2017	27
cell_2018	37
cell_2019	0
cell_2020	69
cell_2021	13
cell_2022	29
cell_2023	44
cell_2024	22
cell_2025	29
cell_2026	1
cell_2027	14
cell_2028	48
cell_2029	24
cell_2030	104
cell_2031	60
cell_2032	8
cell_2033	0
cell_2034	7
cell_2035	6
cell_2036	7
cell_2037	21
cell_2038	27
cell_2039	41
cell_2040	3
cell_2041	9
cell_2042	19
cell_2043	28
cell_2044	41
cell_2045	22
cell_2046	30
cell_2047	44
cell_2048	26
cell_2049	9
cell_2050	66
cell_2051	34
cell_2052	33
cell_2053	0
cell_2054	0
cell_2055	32
cell_2056	102
cell_2057	69
cell_2058	22
cell_2059	4
cell_2060	24
cell_2061	65
cell_2062	20
cell_2063	33
cell_2064	74
cell_2065	29
cell_2066	14
cell_2067	10
cell_2068	24
cell_2069	76
cell_2070	11
cell_2071	35
cell_2072	2
cell_2073	56
cell_2074	6
cell_2075	25
cell_2076	15
cell_2077	8
cell_2078	21
cell_2079	17
cell_2080	56
cell_2081	60
cell_2082	14
cell_2083	22
cell_2084	18
cell_2085	35
cell_2086	18
cell_2087	7
cell_2088	78
cell_2089	26
cell_2090	20
cell_2091	24
cell_2092	10
cell_2093	24
cell_2094	36
cell_2095	56
cell_2096	16
cell_2097	30
cell_2098	19
cell_2099	7
cell_2100	47
cell_2101	89
cell_2102	26
cell_2103	14
cell_2104	57
cell_2105	109
cell_2106	45
cell_2107	44
cell_2108	11
cell_2109	37
cell_2110	8
cell_2111	30
cell_2112	13
cell_2113	14
cell_2114	21
cell_2115	11
cell_2116	40
cell_2117	30
cell_2118	63
cell_2119	10
cell_2120	21
cell_2121	26
cell_2122	10
cell_2123	16
cell_2124	5
cell_2125	44
cell_2126	15
cell_2127	26
cell_2128	40
cell_2129	24
cell_2130	31
cell_2131	38
cell_2132	23
cell_2133	28
cell_2134	17
cell_2135	18
cell_2136	42
cell_2137	7
cell_2138	5
cell_2139	16
cell_2140	5
cell_2141	25
cell_2142	23
cell_2143	10
cell_2144	7
cell_2145	3
cell_2146	13
cell_2147	6
cell_2148	3
cell_2149	31
cell_2150	22
cell_2151	9
cell_2152	9
cell_2153	13
cell_2154	29
cell_2155	23
cell_2156	65
cell_2157	71
cell_2158	20
cell_2159	54
cell_2160	21
cell_2161	13
cell_2162	40
cell_2163	4
cell_2164	24
cell_2165	50
cell_2166	12
cell_2167	0
cell_2168	36
cell_2169	6
cell_2170	62
cell_2171	19
cell_2172	11
cell_2173	8
cell_2174	11
cell_2175	58
cell_2176	23
cell_2177	2
cell_2178	23
cell_2179	62
cell_2180	51
cell_2181	38
cell_2182	24
cell_2183	105
cell_2184	13
cell_2185	54
cell_2186	10
cell_2187	11
cell_2188	6
cell_2189	4
cell_2190	25
cell_2191	25
cell_2192	39
cell_2193	31
cell_2194	0
cell_2195	23
cell_2196	35
cell_2197	27
cell_2198	10
cell_2199	28
cell_2200	80
cell_2201	31
cell_2202	60
cell_2203	78
cell_2204	19
cell_2205	19
cell_2206	7
cell_2207	16
cell_2208	16
cell_2209	27
cell_2210	19
cell_2211	53
cell_2212	8
cell_2213	14
cell_2214	7
cell_2215	56
cell_2216	13
cell_2217	6
cell_2218	27
cell_2219	32
cell_2220	54
cell_2221	52
cell_2222	66
cell_2223	21
cell_2224	4
cell_2225	22
cell_2226	9
cell_2227	43
cell_2228	7
cell_2229	14
cell_2230	20
cell_2231	30
cell_2232	35
cell_2233	52
cell_2234	35
cell_2235	26
cell_2236	46
cell_2237	96
cell_2238	24
cell_2239	77
cell_2240	5
cell_2241	30
cell_2242	14
cell_2243	0
cell_2244	26
cell_2245	42
cell_2246	16
cell_2247	57
cell_2248	13
cell_2249	42
cell_2250	48
cell_2251	35
cell_2252	29
cell_2253	14
cell_2254	6
cell_2255	62
cell_2256	49
cell_2257	5
cell_2258	1
cell_2259	20
cell_2260	40
cell_2261	49
